"cp_dest","cp_origin","category","num_cards","num_payments","incomes","incomes_per","contiguous","Freq","id","lon_origin","lat_origin","lon_dest","lat_dest"
28023,28031,"es_transportation",34,51,1650.1,0.2,"no",3,"30",-3.62475944691038,40.3804216676855,-3.78085002716303,40.4643151105517
28023,28046,"es_hyper",87,176,14754.37,4.07,"no",3,"45",-3.68640345597386,40.4629414867152,-3.78085002716303,40.4643151105517
28023,28022,"all",358,574,22415,0.33,"no",3,"21",-3.58559366701399,40.4406343679154,-3.78085002716303,40.4643151105517
28023,28048,"all",25,37,3462.91,1.54,"si",3,"47",-3.79582337237821,40.5432821391914,-3.78085002716303,40.4643151105517
28023,28005,"es_wellnessandbeauty",6,8,397.18,0.09,"no",3,"4",-3.71127263886214,40.4071758962516,-3.78085002716303,40.4643151105517
28023,28029,"all",829,1281,61596.3,0.72,"no",3,"28",-3.6987747324012,40.4763528875091,-3.78085002716303,40.4643151105517
28023,28023,"es_sportsandtoys",531,618,36681.81,34,"exacto",3,"22",-3.78085002716303,40.4643151105517,-3.78085002716303,40.4643151105517
28023,28025,"es_wellnessandbeauty",4,5,214.48,0.11,"no",3,"24",-3.73274159268675,40.3823064989071,-3.78085002716303,40.4643151105517
28023,28042,"all",334,499,21241.2,0.37,"no",3,"41",-3.57190437725201,40.4759897061794,-3.78085002716303,40.4643151105517
28023,28024,"es_transportation",285,383,9009.98,1.57,"no",3,"23",-3.79616738012501,40.3872559720786,-3.78085002716303,40.4643151105517
28023,28027,"es_hyper",136,214,13589.35,1.09,"no",3,"26",-3.64058063068962,40.4433232252492,-3.78085002716303,40.4643151105517
28023,28035,"es_fashion",89,180,7602.35,0.43,"si",3,"34",-3.73369391897679,40.477443809722,-3.78085002716303,40.4643151105517
28023,28038,"all",98,119,7627.33,0.17,"no",3,"37",-3.64987399591216,40.3968806630115,-3.78085002716303,40.4643151105517
28023,28050,"es_hyper",117,177,13356.93,0.69,"no",3,"49",-3.66104813663535,40.4999045859597,-3.78085002716303,40.4643151105517
28023,28013,"es_transportation",108,136,4672.1,3.93,"no",3,"12",-3.70967410612432,40.4194931916903,-3.78085002716303,40.4643151105517
28023,28044,"es_food",27,30,1190.14,0.12,"no",3,"43",-3.77342840590584,40.3742248645351,-3.78085002716303,40.4643151105517
28023,28019,"es_food",32,49,2077.2,0.17,"no",3,"18",-3.72193638160057,40.3951245858191,-3.78085002716303,40.4643151105517
28023,28039,"es_sportsandtoys",17,19,860.84,0.93,"no",3,"38",-3.70775582801526,40.4617603179843,-3.78085002716303,40.4643151105517
28023,28010,"es_sportsandtoys",21,25,1132.28,1.06,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28026,"es_transportation",100,139,4998.82,0.72,"no",3,"25",-3.70581341543113,40.3835614099015,-3.78085002716303,40.4643151105517
28023,28048,"es_barsandrestaurants",9,15,948.53,7.01,"si",3,"47",-3.79582337237821,40.5432821391914,-3.78085002716303,40.4643151105517
28023,28010,"es_wellnessandbeauty",23,27,2942.98,0.8,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28032,"es_hyper",98,158,11418.45,1.49,"no",3,"31",-3.60254902030191,40.4107577896408,-3.78085002716303,40.4643151105517
28023,28029,"es_hyper",238,363,19528.13,0.9,"no",3,"28",-3.6987747324012,40.4763528875091,-3.78085002716303,40.4643151105517
28023,28036,"es_health",3,5,417,0.09,"no",3,"35",-3.68045575458348,40.4686255344005,-3.78085002716303,40.4643151105517
28023,28039,"es_hyper",227,340,19824.92,1.85,"no",3,"38",-3.70775582801526,40.4617603179843,-3.78085002716303,40.4643151105517
28023,28001,"es_wellnessandbeauty",20,25,1813.64,0.56,"no",3,"0",-3.6827947428548,40.4266206569017,-3.78085002716303,40.4643151105517
28023,28050,"es_transportation",209,265,9119.37,0.88,"no",3,"49",-3.66104813663535,40.4999045859597,-3.78085002716303,40.4643151105517
28023,28027,"es_otherservices",31,40,476.3,0.13,"no",3,"26",-3.64058063068962,40.4433232252492,-3.78085002716303,40.4643151105517
28023,28012,"es_sportsandtoys",8,13,741.78,1.64,"no",3,"11",-3.6994432279276,40.4108426467081,-3.78085002716303,40.4643151105517
28023,28010,"es_food",83,159,6092.45,1.1,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28007,"es_health",14,17,1548.12,0.2,"no",3,"6",-3.66959580903937,40.4095130293538,-3.78085002716303,40.4643151105517
28023,28009,"es_barsandrestaurants",95,139,7081.43,0.86,"no",3,"8",-3.6770972594287,40.4181727607356,-3.78085002716303,40.4643151105517
28023,28017,"es_sportsandtoys",3,4,89.59,0.09,"no",3,"16",-3.64187532573015,40.4254521976648,-3.78085002716303,40.4643151105517
28023,28012,"es_fashion",8,9,348.48,0.08,"no",3,"11",-3.6994432279276,40.4108426467081,-3.78085002716303,40.4643151105517
28023,28034,"es_transportation",236,299,11162.18,1.02,"no",3,"33",-3.6933217956549,40.4946657871205,-3.78085002716303,40.4643151105517
28023,28002,"es_health",9,10,1464.2,0.2,"no",3,"1",-3.67349407565516,40.4473897205517,-3.78085002716303,40.4643151105517
28023,28008,"es_sportsandtoys",38,44,2360.25,3.38,"no",3,"7",-3.72269506637537,40.4296237654795,-3.78085002716303,40.4643151105517
28023,28010,"es_hotelservices",3,3,293.67,2.28,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28023,"es_wellnessandbeauty",1208,1659,112022.89,46.62,"exacto",3,"22",-3.78085002716303,40.4643151105517,-3.78085002716303,40.4643151105517
28023,28015,"es_fashion",101,175,10746.64,1.59,"no",3,"14",-3.70949449786892,40.4337829665051,-3.78085002716303,40.4643151105517
28023,28021,"es_barsandrestaurants",39,47,1253.25,0.53,"no",3,"20",-3.6927929082795,40.3406527253158,-3.78085002716303,40.4643151105517
28023,28012,"es_hyper",107,185,12062.18,1.86,"no",3,"11",-3.6994432279276,40.4108426467081,-3.78085002716303,40.4643151105517
28023,28036,"es_contents",3,3,43.39,0.08,"no",3,"35",-3.68045575458348,40.4686255344005,-3.78085002716303,40.4643151105517
28023,28020,"es_home",3,3,53.82,0.03,"no",3,"19",-3.69533506925182,40.4562555714859,-3.78085002716303,40.4643151105517
28023,28046,"es_barsandrestaurants",77,129,9168.88,2.93,"no",3,"45",-3.68640345597386,40.4629414867152,-3.78085002716303,40.4643151105517
28023,28046,"es_food",36,67,3847.25,1.83,"no",3,"45",-3.68640345597386,40.4629414867152,-3.78085002716303,40.4643151105517
28023,28035,"es_hyper",670,1037,75044.09,3.13,"si",3,"34",-3.73369391897679,40.477443809722,-3.78085002716303,40.4643151105517
28023,28036,"es_barsandrestaurants",134,192,8816.54,0.99,"no",3,"35",-3.68045575458348,40.4686255344005,-3.78085002716303,40.4643151105517
28023,28037,"es_hyper",15,26,1395.3,0.35,"no",3,"36",-3.62145394489794,40.4326368086155,-3.78085002716303,40.4643151105517
28023,28053,"all",59,84,5580.9,0.19,"no",3,"52",-3.66812923486556,40.3744830159125,-3.78085002716303,40.4643151105517
28023,28010,"es_transportation",234,274,10548.5,2.11,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28012,"es_health",3,3,174.73,0.07,"no",3,"11",-3.6994432279276,40.4108426467081,-3.78085002716303,40.4643151105517
28023,28023,"es_home",284,320,13295.6,17.63,"exacto",3,"22",-3.78085002716303,40.4643151105517,-3.78085002716303,40.4643151105517
28023,28002,"all",1043,1596,100169.68,0.92,"no",3,"1",-3.67349407565516,40.4473897205517,-3.78085002716303,40.4643151105517
28023,28016,"es_auto",3,3,917.45,0.52,"no",3,"15",-3.67192360380914,40.4604242172473,-3.78085002716303,40.4643151105517
28023,28023,"es_tech",107,117,10630.93,12.97,"exacto",3,"22",-3.78085002716303,40.4643151105517,-3.78085002716303,40.4643151105517
28023,28030,"es_health",16,22,5542.95,0.83,"no",3,"29",-3.64006611319593,40.4077921632161,-3.78085002716303,40.4643151105517
28023,28045,"all",887,1375,75467.8,0.83,"no",3,"44",-3.6879812051505,40.3961619399782,-3.78085002716303,40.4643151105517
28023,28016,"es_fashion",50,75,2851.8,0.71,"no",3,"15",-3.67192360380914,40.4604242172473,-3.78085002716303,40.4643151105517
28023,28015,"es_wellnessandbeauty",14,14,658.14,0.17,"no",3,"14",-3.70949449786892,40.4337829665051,-3.78085002716303,40.4643151105517
28023,28045,"es_hyper",317,537,35496.55,2.94,"no",3,"44",-3.6879812051505,40.3961619399782,-3.78085002716303,40.4643151105517
28023,28036,"es_home",11,11,296.05,0.18,"no",3,"35",-3.68045575458348,40.4686255344005,-3.78085002716303,40.4643151105517
28023,28029,"es_barsandrestaurants",133,190,8013.34,1.1,"no",3,"28",-3.6987747324012,40.4763528875091,-3.78085002716303,40.4643151105517
28023,28023,"es_barsandrestaurants",2184,3545,143285.03,19.76,"exacto",3,"22",-3.78085002716303,40.4643151105517,-3.78085002716303,40.4643151105517
28023,28050,"es_health",7,10,1526.16,0.27,"no",3,"49",-3.66104813663535,40.4999045859597,-3.78085002716303,40.4643151105517
28023,28036,"es_wellnessandbeauty",12,13,671.73,0.2,"no",3,"35",-3.68045575458348,40.4686255344005,-3.78085002716303,40.4643151105517
28023,28020,"es_otherservices",46,52,1988.11,0.65,"no",3,"19",-3.69533506925182,40.4562555714859,-3.78085002716303,40.4643151105517
28023,28003,"es_otherservices",32,39,846.14,0.26,"no",3,"2",-3.70358049456422,40.4439344680471,-3.78085002716303,40.4643151105517
28023,28010,"es_barsandrestaurants",139,234,13245.05,1.6,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28006,"es_fashion",85,148,9123.59,1.58,"no",3,"5",-3.68059085538121,40.4366683635042,-3.78085002716303,40.4643151105517
